序号,难度,答题分数,答题时间,试题主题,题型,试题正文,试题选项,试题答案,依据 出处,出题人,备注
19,中,1,1,电缆附件安装,单选题,压接出线杆时，采用围压压接法时压缩比宜控制在（   ）。,10%-20%$;$15%～25%$;$20%-30%$;$30%-40%,B,,,电缆附件安装
20,中,1,1,电缆附件安装,单选题,安装电缆终端头时，相对湿度应控制在（   ）%及以下。,90$;$80$;$70$;$60,C,,,电缆附件安装
21,中,1,1,电缆附件安装,单选题,打磨抛光处理的重点部位是应力锥的部位，打磨处理完毕后应测量绝缘表面直径，测量时（   ）。,至少选择三个测量点，每个测量点应在同一平面至少测量两次$;$至少选择两个测量点，每个测量点应在同一平面至少测量两次$;$至少选择四个测量点，每个测量点应在同一平面至少测量三次$;$至少选择三个测量点，每个测量点应在同一平面至少测量三次,A,,,电缆附件安装
22,中,1,1,电缆附件安装,单选题,110kV GIS电缆终端安装时，绝缘处理打磨抛光处理完毕后，绝缘表面的粗糙度应满足要求，如未注明建议控制在（   ）微米。,100$;$200$;$300$;$400,C,,,电缆附件安装
23,中,1,1,电缆附件安装,单选题,在套入应力锥之前，应清洁粘在电缆绝缘表面上的灰尘或其他残留物，清洁方向应由（   ）。,绝缘屏蔽层朝向绝缘层$;$绝缘层朝向绝缘屏蔽层$;$从中间向两端$;$任意方向,B,,,电缆附件安装
24,难,1,1,电缆附件安装,单选题,安装220kV电缆终端时，温度宜控制在（   ）℃，当温度超出允许范围时，应采取适当措施。,5-35$;$2-30$;$43976$;$0-35,D,,,电缆附件安装
25,难,1,1,电缆附件安装,单选题,安装220kV电缆终端时，相对湿度应控制在 （   ）%及以下。,50$;$60$;$70$;$40,C,,,电缆附件安装
26,难,1,1,电缆附件安装,单选题,220kV电力电缆敞开式终端头安装，接地与密封收尾处理采用环氧混合物/玻璃丝带方式密封时，环氧混合物/玻璃丝带的厚度超过（   ）mm。,2$;$3$;$4$;$5,B,,,电缆附件安装
27,难,1,1,电缆附件安装,单选题,220kV电缆终端制作时，接地与密封收尾处理，如需加注绝缘填充剂，应根据工艺图纸要求灌入绝缘填充剂至（   ）位置。,四分之三$;$三分之一$;$最高$;$规定液面,D,,,电缆附件安装
28,难,1,1,电缆附件安装,单选题,采用环氧混合物/玻璃丝带方式密封时，灌入绝缘剂，在安装前宜检验接头密封性，如采用抽真空法。一般在瓷套顶部留有 （   ）mm 的空气腔，作为终端的膨胀腔。,100～300$;$200～400$;$100～200$;$150～200,C,,,电缆附件安装
29,难,1,1,电缆附件安装,单选题,采用封铅方式进行接地或密封时，封铅要与（   ）的金属尾管紧密连接，封铅致密性要好，不应有杂质和气泡。,电缆$;$电缆金属护套和电缆终端$;$电缆外护套$;$电缆主绝缘,B,,,电缆附件安装
30,难,1,1,电缆附件安装,单选题,220kV电力电缆敞开式终端头安装时，检查电缆长度，确保电缆在制作敞开式终端时有足够的长度和适当的余量。根据工艺图纸要求确定电缆最终切割位置，预留 （   ） mm余量，切剥电缆。,100-200$;$200-300$;$200-500$;$300-600,C,,,电缆附件安装
31,难,1,1,电缆附件安装,单选题,220kV电力电缆敞开式终端头安装加热校直时，电缆绝缘屏蔽层处温度宜控制在（   ）℃。,70±3$;$75±5$;$65±3$;$75±3,D,,,电缆附件安装
32,难,1,1,电缆附件安装,单选题,220kV电力电缆敞开式终端头安装加热校直时，保温时间宜不小于（   ）h。,1$;$2$;$3$;$4,A,,,电缆附件安装
33,难,1,1,电缆附件安装,单选题,220kV交联电缆终端要求弯曲度：电缆每 600mm 长，最大弯曲度偏移控制在 （   ）mm范围内。,43832$;$43864$;$43866$;$43894,C,,,电缆附件安装
34,易,1,1,无人机巡检工,单选题,当飞机减小速度水平飞行时（   ）。,增大迎角以提高升力$;$减小迎角以减小阻力$;$保持迎角不变以防止失速$;$减小迎角以观察地面,A,,,无人机巡检工
35,易,1,1,无人机巡检工,单选题,在平衡外载荷的作用下，飞机飞行的轨迹（   ）。,—定是直线的$;$—定是水平直线的$;$是直线的或是水平曲线的$;$可以是任何平面轨迹,A,,,无人机巡检工
36,易,1,1,无人机巡检工,单选题,导致失速的直接原因是（   ）。,低速飞行$;$高速飞行$;$迎角过大$;$迎角过小,C,,,无人机巡检工
37,易,1,1,无人机巡检工,单选题,飞机“失速”是指（   ）。,飞机失去速度$;$飞机速度太快$;$飞机以大于临界迎角飞行$;$飞机失去对速度的控制,C,,,无人机巡检工
38,易,1,1,无人机巡检工,单选题,机翼空气动力受力最大的是（   ）。,机翼上表面压力$;$机翼下表面压力$;$机翼上表面负压$;$机翼前缘迎风面,C,,,无人机巡检工
39,易,1,1,无人机巡检工,单选题,当恒定角速度水平转弯时空速增加，转弯半径（   ）。,不变$;$减少$;$增加$;$都有可能,C,,,无人机巡检工
40,易,1,1,无人机巡检工,单选题,从地球表面到外层空间，大气圈层依次是（   ）。,对流层、平流层、中间层、电离层和散逸层$;$对流层、平流层、电离层、中间层和散逸层$;$对流层、中间层、平流层、电离层和散落层$;$对流层、平流层、中间层、电离层和散落层,A,,,无人机巡检工
41,易,1,1,无人机巡检工,单选题,下列对飞机阻力影响小的选项是（   ）。,飞行速度、空气密度、机翼面积$;$飞机的翼型和平面形状$;$飞机的安装角和上反角$;$机翼的展弦比,C,,,无人机巡检工
42,中,1,1,无人机巡检工,单选题,对低速气流，由伯努利方程可以得出的结论是（   ）。,流管内气流速度增加，空气静压也增加$;$流管截面积减小，空气静压增加$;$流管内气流速度增加，空气静压减小$;$流管截面积增加，空气静压增加,C,,,无人机巡检工
43,中,1,1,无人机巡检工,单选题,当后缘襟翼放下时，下列说法正确的是（   ）。,减小阻力$;$增大阻力$;$增大升力又增大阻力$;$增大升力又减小阻力,C,,,无人机巡检工
44,中,1,1,无人机巡检工,单选题,下列叙述属于平流层的特点是（   ）。,空气中几乎没有水蒸气$;$空气没有上下对流$;$高度升高气温下降$;$紫外线含量较高,B,,,无人机巡检工
45,中,1,1,无人机巡检工,单选题,小型无人直升机应配备不少于 （   ） 组电池。,4$;$6$;$8$;$12,B,,,无人机巡检工
46,中,1,1,无人机巡检工,单选题,气体的连续性定理是以下哪项定律在空气流动过程中的应用（   ）。,能量守衡定律$;$牛顿第一定律$;$质量守衡定律$;$牛顿第二定律,C,,,无人机巡检工
47,中,1,1,无人机巡检工,单选题,飞机结冰是指飞机机体表面某些部位聚集冰层的现象，飞机积冰主要分为H大种（   ）。,冰、雾凇、霜$;$明冰、毛冰、白冰$;$坚冰、松冰、霜冰$;$毛冰、松冰、霜,A,,,无人机巡检工
48,中,1,1,无人机巡检工,单选题,下列关于中单翼布局的飞机说法正确的是（   ）。,阻力最大$;$机动性较强$;$机动性较弱$;$升力较强,B,,,无人机巡检工
49,中,1,1,无人机巡检工,单选题,在下列何种情况下容易碰到风切变（   ）。,逆温层附近或靠近雷暴时$;$当风速大于65千米/小时时$;$有高气压时$;$有低气压时,A,,,无人机巡检工
50,中,1,1,无人机巡检工,单选题,小型固定翼飞机的主要部件包括（   ）起落装置和动力裝置。,机体$;$机翼$;$机械臂$;$云端,C,,,无人机巡检工
51,中,1,1,无人机巡检工,单选题,下列不属于无人驾驶航空器主要组成部分的是（   ）。,起落架$;$动力装置$;$机翼$;$地面站,D,,,无人机巡检工
52,中,1,1,无人机巡检工,单选题,小型固定翼无人驾驶航空器机体部分主要包括：机身、（   ）、尾翼。,发动机$;$云端$;$遥控器$;$机翼,D,,,无人机巡检工
53,中,1,1,无人机巡检工,单选题,机身的主要功用是装载飞行控制系统、 电力系统、 （   ）、 燃料系统及任务系统等机裁设备。,传感系统$;$通信系统$;$抓取仪器$;$监视系统,B,,,无人机巡检工
54,难,1,1,无人机巡检工,单选题,下列属于无人驾驶航空器产生升力的主要部件是（   ）。,机翼$;$尾翼$;$燃料系统$;$动力装置,A,,,无人机巡检工
55,难,1,1,无人机巡检工,单选题,"好的翼型能够在同样的迎角下有较大的升力系数和较小的阻力系数, 这两种系数的比值 (称升阻比)可达到（   ）以上。",19$;$20$;$18$;$17,C,,,无人机巡检工
56,难,1,1,无人机巡检工,单选题,襟翼是一种（   ），用于改善飞机的起降性能 。,起降装置$;$减速装置$;$增升装置$;$平衡装置,C,,,无人机巡检工
57,难,1,1,无人机巡检工,单选题,"机翼相对于机身的垂直位置,可以将机翼分为几种单翼（   ）。",3$;$5$;$4$;$2,A,,,无人机巡检工
58,难,1,1,无人机巡检工,单选题,下列哪种单翼具有重量轻、强度好、有效升力面积大的优势（   ）。,上单翼$;$下单翼$;$中单翼$;$前掠翼,A,,,无人机巡检工
59,难,1,1,无人机巡检工,单选题,翼型是指机翼的（   ）形状。,平面$;$正面$;$侧面$;$切面,D,,,无人机巡检工
60,难,1,1,无人机巡检工,单选题,（   ）年美国的菜特兄弟研制成功的能够实现动力飞行的飞机。,1904$;$1903$;$1910$;$1901,B,,,无人机巡检工
61,难,1,1,无人机巡检工,单选题,翼型是由（   ）线(或机翼弯度)和基本厚度翼型叠加而成的。,前弧$;$曲$;$下弧$;$中弧,D,,,无人机巡检工
62,难,1,1,无人机巡检工,单选题,"前缘、后缘、机翼上表面和下表面的外形线在前端的交点称为（   ）,后端的交点称为（   ）。",前缘；后缘$;$后缘；前缘$;$前掠；后缘$;$后掠；前缘,A,,,无人机巡检工
62,难,1,1,无人机巡检工,单选题,对于空气密度以下说法正确的是（   ）。,空气密度正比于压力和绝对温度$;$空气密度正比于压力，反比于绝对溫度$;$空气密度反比于压力，正比于绝对媪度$;$空气密度反比于压力和绝对温度,B,,,无人机巡检工
